id,created_at,updated_at,subject,attribute,department,domain
1,"2018-03-09 19:47:28.765552",NULL,Services,Efficiency,Hotel,Hotel
4,"2018-03-09 19:47:30.377058",NULL,Hotel,Quality,Hotel,Hotel
6,"2018-03-09 20:00:43.047355",NULL,Amenities,Adequacy,Housekeeping,"Room Making"
7,"2018-03-09 20:00:43.818294",NULL,Appliances,Availability,Housekeeping,"Room Making"
8,"2018-03-09 19:44:59.801908",NULL,Room,Integrity/Maintenance,Housekeeping,Maintenance
9,"2018-03-09 20:01:31.024614",NULL,Linen,Availability,Housekeeping,"Room Making"
17,"2018-03-09 20:00:44.276181",NULL,Bathroom,Quality,Housekeeping,"Room Making"
18,"2018-03-09 19:45:29.531191",NULL,Efficiency,Accuracy,Hotel,Hotel
19,"2018-03-09 20:01:03.816380",NULL,Services,Integrity/Maintenance,Housekeeping,Maintenance
20,"2018-03-09 19:45:30.323555",NULL,Services,Ambience,Housekeeping,Maintenance
21,"2018-03-09 19:45:30.720354",NULL,Services,Temperature,Housekeeping,Maintenance
22,"2018-03-09 19:45:31.105424",NULL,Services,Accuracy,Hotel,Hotel
23,"2018-03-09 19:47:14.366324",NULL,Food,Integrity/Maintenance,"Food & Beverage","Food Production"
24,"2018-03-09 20:00:51.299649",NULL,Food,Ambience,"Food & Beverage","Food Production"
25,"2018-03-09 20:01:14.054496",NULL,Food,Temperature,"Food & Beverage","Food Production"
26,"2018-03-09 19:47:14.777879",NULL,Food,Integrity/Maintenance,"Food & Beverage",Maintenance
27,"2018-03-09 19:45:33.054198",NULL,Food,Ambience,"Food & Beverage",Maintenance
28,"2018-03-09 19:45:33.444186",NULL,Food,Temperature,"Food & Beverage",Maintenance
29,"2018-03-09 20:01:19.376923",NULL,Food,Accuracy,"Food & Beverage",Service
30,"2018-03-09 19:45:34.259270",NULL,Room,Accuracy,"Front Office",Check-in/Check-out
31,"2018-03-09 19:47:24.355320",NULL,Staff,Cleanliness,Housekeeping,"Room Making"
32,"2018-03-09 20:00:47.790218",NULL,Staff,Quality,Housekeeping,"Room Making"
33,"2018-03-09 19:47:18.357333",NULL,Ambience,Cleanliness,Housekeeping,"Room Making"
34,"2018-03-09 19:47:18.759596",NULL,Ambience,Quality,Housekeeping,"Room Making"
35,"2018-03-09 19:46:45.466335",NULL,Staff,Integrity/Maintenance,Housekeeping,Maintenance
36,"2018-03-09 19:45:37.454266",NULL,Staff,Cleanliness,Housekeeping,Maintenance
37,"2018-03-09 20:01:34.600850",NULL,Staff,Quality,Housekeeping,Maintenance
38,"2018-03-09 19:45:38.254175",NULL,Staff,Integrity/Maintenance,Housekeeping,"Room Making"
39,"2018-03-09 19:45:39.454569",NULL,Cleanliness,Ambience,Hotel,Hotel
40,"2018-03-09 20:00:58.497532",NULL,Cleanliness,Cleanliness,Housekeeping,"Room Making"
41,"2018-03-09 19:47:19.565792",NULL,Cleanliness,Quality,Housekeeping,"Room Making"
42,"2018-03-09 19:45:40.667004",NULL,Ambience,Ambience,Hotel,Hotel
43,"2018-03-09 19:45:42.966254",NULL,Services,Cleanliness,Housekeeping,Maintenance
44,"2018-03-09 19:45:43.368462",NULL,Services,Quality,Housekeeping,Maintenance
45,"2018-03-09 19:45:43.764987",NULL,Services,Integrity/Maintenance,Housekeeping,"Room Making"
46,"2018-03-09 19:46:38.184443",NULL,Services,Cleanliness,Housekeeping,"Room Making"
47,"2018-03-09 19:46:38.584311",NULL,Services,Quality,Housekeeping,"Room Making"
48,"2018-03-09 19:45:44.986583",NULL,Integrity/Maintenance,Integrity/Maintenance,Housekeeping,Maintenance
49,"2018-03-09 19:45:45.396138",NULL,Integrity/Maintenance,Cleanliness,Housekeeping,Maintenance
50,"2018-03-09 19:45:45.795381",NULL,Integrity/Maintenance,Quality,Housekeeping,Maintenance
51,"2018-03-09 19:45:46.217709",NULL,Cleanliness,Integrity/Maintenance,Housekeeping,Maintenance
52,"2018-03-09 19:45:46.654636",NULL,Cleanliness,Cleanliness,Housekeeping,Maintenance
53,"2018-03-09 19:45:47.056690",NULL,Cleanliness,Quality,Housekeeping,Maintenance
54,"2018-03-09 19:45:47.415461",NULL,Integrity/Maintenance,Integrity/Maintenance,Housekeeping,"Room Making"
55,"2018-03-09 20:01:26.143916",NULL,Integrity/Maintenance,Cleanliness,Housekeeping,"Room Making"
56,"2018-03-09 20:01:26.536201",NULL,Integrity/Maintenance,Quality,Housekeeping,"Room Making"
57,"2018-03-09 19:45:48.607662",NULL,Cleanliness,Integrity/Maintenance,Housekeeping,"Room Making"
59,"2018-03-09 19:45:51.693781",NULL,Cleanliness,Courtesy,Hotel,Hotel
60,"2018-03-09 19:47:25.557480",NULL,Staff,Quality,Hotel,Hotel
61,"2018-03-09 19:46:30.602455",NULL,Room,Quality,Housekeeping,"Room Making"
62,"2018-03-09 19:47:20.364827",NULL,Pricing,Ambience,"Front Office","Billing & Payment"
63,"2018-03-09 19:47:20.765204",NULL,Pricing,Efficiency,"Front Office","Billing & Payment"
64,"2018-03-09 19:45:54.375480",NULL,Ambience,Adequacy,Hotel,Hotel
65,"2018-03-09 19:45:54.775373",NULL,Noise,Adequacy,Hotel,Hotel
66,"2018-03-09 19:45:55.176910",NULL,Ambience,Integrity/Maintenance,Housekeeping,Maintenance
67,"2018-03-09 19:45:55.584870",NULL,Noise,Integrity/Maintenance,Housekeeping,Maintenance
68,"2018-03-09 19:46:38.984870",NULL,Room,Ambience,Hotel,Hotel
69,"2018-03-09 19:45:56.785206",NULL,Room,Noise,Hotel,Hotel
70,"2018-03-09 19:47:23.555877",NULL,Room,"Pest Control",Hotel,Hotel
71,"2018-03-09 19:45:57.985535",NULL,Hotel,Adequacy,Hotel,Hotel
72,"2018-03-09 19:45:58.387452",NULL,Hotel,Integrity/Maintenance,Housekeeping,Maintenance
73,"2018-03-09 19:45:58.784351",NULL,"Pest Control",Adequacy,Hotel,Hotel
74,"2018-03-09 19:45:59.227408",NULL,"Pest Control",Integrity/Maintenance,Housekeeping,Maintenance
75,"2018-03-09 20:00:50.608337",NULL,Food,Cleanliness,"Food & Beverage","Food Production"
76,"2018-03-09 19:46:07.735012",NULL,"Phone Call",Cleanliness,Housekeeping,"Room Making"
77,"2018-03-09 19:46:08.135517",NULL,"Phone Call",Quality,Housekeeping,"Room Making"
78,"2018-03-09 19:47:29.988585",NULL,Hotel,Cleanliness,Hotel,Hotel
79,"2018-03-09 19:47:25.947217",NULL,Efficiency,Quality,Hotel,Hotel
80,"2018-03-09 19:46:16.104460",NULL,Efficiency,Cleanliness,Housekeeping,"Room Making"
81,"2018-03-09 20:00:53.887783",NULL,Efficiency,Quality,Housekeeping,"Room Making"
82,"2018-03-09 19:46:58.414640",NULL,Services,Quality,Hotel,Hotel
