id,created_at,updated_at,video_name,thumbnail_url,video_url,quiz,tags
2,"2018-03-27 07:02:29.116084",NULL,"Room Care Checklist",http://d255tx56tiemkm.cloudfront.net/Thumbnails/room+care+thumbnail.png,http://d255tx56tiemkm.cloudfront.net/GRA+PPT+MadeVideos/Checking+the+room+080318.mp4,"[{u'Question': u'How Many Dirty Hide Outs Are There In The Room?', u'Options': [{u'text': u'5', u'isAns': False}, {u'text': u'10', u'isAns': False}, {u'text': u'12', u'isAns': True}]}, {u'Question': u'Directions For Checking The Room Are?', u'Options': [{u'text': u'Reverse', u'isAns': False}, {u'text': u'Left To Right', u'isAns': False}, {u'text': u'Clockwise or Anti Clockwise', u'isAns': True}]}, {u'Question': u'One Of The Most Neglected Area In The Guest Room Is?', u'Options': [{u'text': u'Table Top', u'isAns': False}, {u'text': u'Between Bed & Bedside Table', u'isAns': True}, {u'text': u'Bed ', u'isAns': False}]}]",NULL
7,"2018-03-27 07:02:30.329553",NULL,"Bathroom-WC cleaning 1(Cleaning Wall and SS Fittings)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/wc+cleaning+%5B1-2%5D++9-3-2018.png,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Bathroom+Cleaning/WC+Cleaning/HK+WC+Cleaning+-+%5B1-2%5D+5march.mp4,"[{u'Question': u' Which equipment is used to scrub the SS fittings?', u'Options': [{u'text': u'Nylon scrubber', u'isAns': True}, {u'text': u' Toothbrush', u'isAns': False}, {u'text': u'Gloves', u'isAns': False}]}, {u'Question': u'Which equipment is used to scrub the wall behind WC?', u'Options': [{u'text': u'Hand tool', u'isAns': True}, {u'text': u'Toothbrush', u'isAns': False}, {u'text': u'Nylon scrubber', u'isAns': False}]}, {u'Question': u'Which chemical is used for scrubbing the walls behind WC?', u'Options': [{u'text': u'R5', u'isAns': False}, {u'text': u'R2', u'isAns': True}, {u'text': u'R3', u'isAns': False}]}]",NULL
8,"2018-03-27 07:02:31.028274",NULL,"Linen Exchange & Discard Process (Handing over soiled linen & Receiving fresh linen)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/linen+exchange+%26+discard+process+1_9-3-2018.png,http://d255tx56tiemkm.cloudfront.net/GRA+Articulate+Made+Videos/Linen+Exchange+%26+Discard+Process/linen+exchange+%26+discard+process+1+07.03.18.mp4,"[{u'Question': u'Pillow covers to be collected in the?', u'Options': [{u'text': u'Red bin', u'isAns': True}, {u'text': u'Green bin', u'isAns': False}, {u'text': u'Blue bin', u'isAns': False}]}, {u'Question': u'The GRE/HM should update the linen exchange count in the?', u'Options': [{u'text': u'Daybook', u'isAns': True}, {u'text': u'Log book', u'isAns': False}, {u'text': u'GRA floor report', u'isAns': False}]}, {u'Question': u'While performing the linen exchange the count should be updated by the?', u'Options': [{u'text': u'GRA', u'isAns': False}, {u'text': u'GRE/HM', u'isAns': True}, {u'text': u'GM', u'isAns': False}]}]",NULL
9,"2018-03-27 07:02:31.561229",NULL,"Linen Exchange & Discard Process (Linen discard)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/linen+exchange+%26+discard+process+2_9-3-2018.png,http://d255tx56tiemkm.cloudfront.net/GRA+Articulate+Made+Videos/Linen+Exchange+%26+Discard+Process/linen+exchange+%26+discard+process+2+07.03.18.mp4,"[{u'Question': u'Which record is maintained for discarding linen?', u'Options': [{u'text': u'Linen discard register', u'isAns': True}, {u'text': u'Day book', u'isAns': False}, {u'text': u'Missing & breakage report', u'isAns': False}]}, {u'Question': u'Who is the approving authority for discarding linen?', u'Options': [{u'text': u'GM', u'isAns': True}, {u'text': u'HM', u'isAns': False}, {u'text': u'GRE', u'isAns': False}]}, {u'Question': u'On which date the linen is discarded?', u'Options': [{u'text': u'18th of every month', u'isAns': False}, {u'text': u'20th of every month', u'isAns': False}, {u'text': u'28th of every month', u'isAns': True}]}]",NULL
10,"2018-03-27 07:02:31.720055",NULL,"Bathroom-WC cleaning 2(WC Cleaning)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/wc+cleaning+%5B2-2%5D++9-3-2018.png,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Bathroom+Cleaning/WC+Cleaning/Hk+Wc+Cleaning+-+%5B2-2%5D+5march-1.m4v,"[{u'Question': u'Which chemical is used for sanitizing the WC?', u'Options': [{u'text': u'R2', u'isAns': True}, {u'text': u'R3', u'isAns': False}, {u'text': u'R5', u'isAns': False}]}, {u'Question': u'What is the colour of duster used for WC cleaning?', u'Options': [{u'text': u'Red', u'isAns': True}, {u'text': u'Blue', u'isAns': False}, {u'text': u'Green', u'isAns': False}]}, {u'Question': u'What kind of gloves is used for cleaning the WC? ', u'Options': [{u'text': u'Plastic gloves', u'isAns': False}, {u'text': u'Rubber gloves', u'isAns': True}, {u'text': u'Cotton gloves', u'isAns': False}]}]",NULL
11,"2018-03-27 07:02:32.205217",NULL,"Caddy Setup",http://d255tx56tiemkm.cloudfront.net/Thumbnails/Caddy+Set+Up.%5B1%5D+9-3-2018.jpg,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Caddy+Setup/Caddy+Set+Up++5march.mp4,"[{u'Question': u'WC Brush Is Kept Along With Which Cleaning Agent?', u'Options': [{u'text': u'R6', u'isAns': True}, {u'text': u'R2', u'isAns': False}, {u'text': u'R3', u'isAns': False}]}, {u'Question': u'Cleaning Agent Spray Cans Are Placed In Which Compartment Of The Caddy ?', u'Options': [{u'text': u'Compartment 1', u'isAns': False}, {u'text': u'Compartment 2', u'isAns': False}, {u'text': u'Big Compartment', u'isAns': True}]}, {u'Question': u'What Is Used To Keep All The Small Cleaning Equipments?', u'Options': [{u'text': u'Colored Plastic Mug', u'isAns': True}, {u'text': u'Spray Can', u'isAns': False}, {u'text': u'Plastic Box', u'isAns': False}]}]",NULL
12,"2018-03-27 07:02:32.691130",NULL,"Bathroom Cleaning-Replenishing Supplies & Mopping",http://d255tx56tiemkm.cloudfront.net/Thumbnails/hk-replenishing+supplies+%26+mopping+%5B+1+%5D+9-3-2018+cover+pages.jpg,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Bathroom+Cleaning/Replenishing+Supplies+%26+Mopping/Hk-replenishing+Supplies+%26+Mopping%5B1%5D+5march-1.m4v,"[{u'Question': u'How Is Toilet Roll Folded?', u'Options': [{u'text': u'Triangular Fold', u'isAns': True}, {u'text': u'Folded With A Sticker', u'isAns': False}, {u'text': u'Kept With Cover', u'isAns': False}]}, {u'Question': u'How Many Towels Are Placed In The Bathroom?', u'Options': [{u'text': u'One', u'isAns': False}, {u'text': u'Two', u'isAns': False}, {u'text': u'As Per Pax', u'isAns': True}]}, {u'Question': u'Which Cleaning Tool Is Used For Corners Cleaning?', u'Options': [{u'text': u'Hand tool', u'isAns': False}, {u'text': u'Toothbrush', u'isAns': True}, {u'text': u'Nylon Scrubber', u'isAns': False}]}]",NULL
13,"2018-03-27 07:02:32.847812",NULL,"Damaged Laundry Peocess",http://d255tx56tiemkm.cloudfront.net/Thumbnails/Damaged+laundry+process_9-3-2018.png,http://d255tx56tiemkm.cloudfront.net/GRA+Articulate+Made+Videos/Laundry+Process/Damaged+Laundry+Process/Damaged+laundry+process+07.03.18.mp4,"[{u'Question': u'Where Is A Record Of Damaged Laundry Made?', u'Options': [{u'text': u'Log book', u'isAns': True}, {u'text': u'GRA floor report', u'isAns': False}, {u'text': u'Day book', u'isAns': False}]}, {u'Question': u'Where Should The Damaged Laundry Be Placed In The Guest Room?', u'Options': [{u'text': u'Foot side of the bed', u'isAns': True}, {u'text': u'Head side of the bed', u'isAns': False}, {u'text': u'On the chaiar', u'isAns': False}]}, {u'Question': u'In Case Of Damaged Laundry Who Is Supposed To Be Informed By The GRA?', u'Options': [{u'text': u'HM/GRE', u'isAns': True}, {u'text': u'GM', u'isAns': False}, {u'text': u'Laundry Vendor', u'isAns': False}]}]",NULL
14,"2018-03-27 07:02:33.003330",NULL,"Bathroom Cleaning-Washbasin Cleaning(2)(Scrubbing Washbasin and Wall)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/hk+-wash+basin+cleaning+%5B2-2%5D+9-3-2018.jpg,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Bathroom+Cleaning/Washbasin+Cleaning/hk+-wash+basin+cleaning+%5B2-2%5D+5march.mp4,"[{u'Question': u'Which Cleaning Equipment Is Used To Scrub Under The Washbasin Area?', u'Options': [{u'text': u'Nylon Scrubber', u'isAns': False}, {u'text': u'Hand tool', u'isAns': True}, {u'text': u'Tooth Brush', u'isAns': False}]}, {u'Question': u'Which Cleaning Agent Is Sprayed Directly On The Surface?', u'Options': [{u'text': u'R6', u'isAns': False}, {u'text': u'R3', u'isAns': True}, {u'text': u'R5', u'isAns': False}]}, {u'Question': u' What Do We Use To Clean Excess Water From The Walls?', u'Options': [{u'text': u'Small Wiper', u'isAns': True}, {u'text': u'Green Duster', u'isAns': False}, {u'text': u'Feather Duster', u'isAns': False}]}]",NULL
15,"2018-03-27 07:02:33.435746",NULL,"Bathroom Cleaning-Washbasin Cleaning(1)(Cleaning SS Fittings and Mirror)",http://d255tx56tiemkm.cloudfront.net/Thumbnails/hk+-wash+basin+cleaning+%5B1-2%5D+9-3-2018.jpg,http://d255tx56tiemkm.cloudfront.net/GRA+Videos/Bathroom+Cleaning/Washbasin+Cleaning/hk+-wash+basin+cleaning+%5B1-2%5D+5march.mp4,"[{u'Question': u'Which Cleaning Agent Is Use For Cleaning The  Mirrors?', u'Options': [{u'text': u'R6', u'isAns': False}, {u'text': u'R3', u'isAns': True}, {u'text': u'R5', u'isAns': False}]}, {u'Question': u'Which Duster Is Used To Wipe The Washbasin Area?', u'Options': [{u'text': u'Yellow Duster', u'isAns': True}, {u'text': u'Red Duster', u'isAns': False}, {u'text': u'Green Duster', u'isAns': False}]}, {u'Question': u'What Do We Use To Scrub The Washbasin Fittings & Fixtures?', u'Options': [{u'text': u'Nylon Scrubber', u'isAns': True}, {u'text': u'Steel Wool', u'isAns': False}, {u'text': u'Scotch Brite', u'isAns': False}]}]",NULL
